,state_name_x,name_of_city,description of the city_x
0,PUNJAB,Abohar ,"Abohar was founded in the 12th century and along with the name of the city, there were a lot of changes that took place. It lies close to the India-Pakistan border and hence has mixed inhabitants of different castes and creed. The locals, nonetheless, live in complete peace and harmony. Abohar is an ancient city in the state of Punjab. It lies near the borders of Rajasthan and Haryana. It was known by the name of Aabha Nagri many years back, and was a fabulous city. However, it is said that the Panj Peers (five saints of Multan) destroyed the famous city, the ruins of which can still be seen. Since it is an ancient region, visitors from all over come to see the various structures of historical significance that are located in the city. It is also a famous place of pilgrimage for all religions."
1,MAHARASHTRA,Achalpur ,"Achalpur or Ellichpur is first mentioned authentically in the 13th century as one of the famous cities of the Deccan. Though tributary to the Delhi Sultanate after 1294, it remained under Hindu administration till 1318, when it came directly under the Muslim Delhi Sultanate.Travelers are voting Chikhaldara, Achalpur Fort and Semadoh Lake as the best of 13 tourist attractions in Achalpur. There are 13 tourist attractions in Achalpur a city just 36 km from Achalpur and 15 tourist attractions in Amravati which is 50 km distant. The most popular of these are Chikhaldara in Achalpur and Balapur Fort in Amravati. You can find 1247 tourist attractions in Maharashtra and 12972 tourist attractions in the country of India. Our members favorite in Maharashtra is Pune and Mumbai is the top pick in India."
2,ANDHRA PRADESH,Adilabad ,"Adilabad derives its name from the erstwhile ruler of Bijapur, Muhammad Yusuf Adil Shah. It wasn't a homogenous unit for a long period. Adilabad was ruled by many dynasties like the Kakatiyas, Mauryas, Satavahanas, Chalukyas, Qutub Shahis , Asaf Jahis and by Gond Rajas of earlier sub-districts Sirpur and Chanda.Basar Saraswathi Temple, situated on the banks of Godavari River, is a prominent temple in Adilabad and is one among the two temples in India dedicated to the Goddess Saraswati, the Hindu goddess of knowledge, music, arts and sciences.The top attractions to visit in Adilabad are:
Basar Saraswati Temple
Kuntala Waterfall
Kadam Dam
Pochera Waterfalls
Kawal Wildlife Sanctuary"
3,JHARKHAND,Adityapur ,"Adityapur is a city and suburb in Jamshedpur, Jharkhand, India. It is a nagar parishad in the Seraikela Sadar subdivision in the Seraikela Kharsawan district. Adityapur is part of the Greater Jamshedpur, under the Indian government's Jawaharlal Nehru National Urban Renewal Mission (JNNURM).[1] It is separated from Jamshedpur by the Kharkai River.Tourist attraction Adityapur-Industrial-Area, Jamshedpur plays an integral part in the tourism industry.Some tourist spots are primarily meant for entertainment purposes such as zoos, theme parks, etc.Several tourist destinations like museums and exhibits become educational centres for tourists.Others are meant for facilitating hospitality, recreation and special events."
4,ANDHRA PRADESH,Adoni ,"Adoni is situated upon three mountains which are united; it has a range of irregular fortifications, piled one over the other. To maintain it requires a garrison of 30,000 men. The fortifications upon the mountains are often weak...To the south of Adoni, a large plain, to the north there are mountains, obnoxious from their nearness, to the east there are other mountains. To the west there are also mountains and this part is the weakest.The Adoni Fort is undoubtedly the citys biggest tourist attraction. Located atop a hill, the fort that is now in ruins is well worth a visit. Although in ruins it still is an imposing structure with its large ramparts, beautiful gates, inner secret tunnels, and the sub-forts, within its complex.

Adoni is also dotted with various places of worship, thanks to its almost equal population of Hindus and Muslims. Take some time to visit the Jumma Masjid, the Ranamandana Konda, Sri Mahayogi Lakshmamma Avva Temple, and the Santana Anjaneya Swamy Temple, among others.

The Kaman Bavi and Venkanna Bavi are two famous wells in the region that were built many centuries ago, and today serve as important tourist attractions."
5,TRIPURA,Agartala ,"Agartala is the capital city of the Indian state of Tripura, and is one of the largest cities in northeast India. The city is governed by the Agartala Municipal Corporation. The city is the seat of the Government of Tripura. It is located on the banks of the Haora River, near the Bangladesh border, about 90 kilometres (55 mi) east of Bangladesh's capital Dhaka and about 2,499 km (1,522 mi) from the national capital New Delhi. Agartala is being developed under the Smart Cities Mission, a flagship scheme of the Government of India. Agartala is India's third international internet gateway after the ones in Mumbai and Chennai.It has many popular attractions, including Devtamura, Tripura Government Museum, ISKCON, Math Chowmuhani, making it well worth a visit.The top sightseeing places in Agartala are Ujjayanta Palace, Sepahijala Wildlife Sanctuary, Chittangong Hillss, Tripura Sundari Temple, Neermahal, Ummaneshwar Temple."
6,UTTAR PRADESH,Agra ,"Agra is a city on the banks of the Yamuna river in the Indian state of Uttar Pradesh, about 210 kilometres (130 mi) south of the national capital New Delhi and 330 km west of the state capital Lucknow. With a population of roughly 1.6 million, Agra is the fourth-most populous city in Uttar Pradesh and twenty-third most populous city in India.
Agra's notable historical period began during Sikandar Lodi's reign, but the golden age of the city began with the Mughals. Agra was the foremost city of the Indian subcontinent and the capital of the Mughal Empire under Mughal emperors Babur, Humayun, Akbar, Jahangir and Shah Jahan. Under Mughal rule, Agra became a centre for learning, arts, commerce, and religion, and saw the construction of the Agra Fort, Sikandra and Agra's most prized monument, the Taj Mahal, built by Shah Jahan as a mausoleum for his favourite empress. With the decline of the Mughal empire in the late 18th century, the city fell successively first to Marathas and later to the East India Company. After Independence, Agra has developed into an industrial town, with a booming tourism industry, along with footwear, leather and other manufacturing. The Taj Mahal and the Agra Fort are UNESCO World Heritage Sites. The city features mild winters, hot and dry summers and a monsoon season, and is famous for its Mughlai cuisine. Agra is included on the Golden Triangle tourist circuit, along with Delhi and Jaipur; and the Uttar Pradesh Heritage Arc, a tourist circuit of Uttar Pradesh, along with Lucknow and Varanasi.Agra is one of the most populous cities in Uttar Pradesh, and the 24th most populous in India. Agra is a major tourist destination because of its many Mughal-era buildings, most notably the T?j Mahal, Agra Fort and Fatehp?r Sikr?, all three of which are UNESCO World Heritage Sites."
7,GUJARAT,Ahmedabad ,"Ahmedabad is the most populous city in the Indian state of Gujarat. It is the administrative headquarters of the Ahmedabad district and the seat of the Gujarat High Court. Ahmedabad's population of 8,253,000 (per the 2021 population census) makes it the fifth-most populous city in India, and the encompassing urban agglomeration population estimated at 6,357,693 is the seventh-most populous in India. Ahmedabad is located near the banks of the Sabarmati River, 25 km (16 mi) from the capital of Gujarat, Gandhinagar, also known as its twin city.Ahmedabad is famous for being India's first heritage city. A layered history, rich culture, and architectural magnificence make Ahmedabad one of the best places to visit in India. It is home to several famous monuments such as Sabarmati Ashram, Swaminarayan Temple, Jama Masjid, Sidi Sayyed Mosque, and Science City.Ahmedabad has a strong association with India's struggle for independence. Mahatma Gandhi lived in Ahmedabad for several years and it was from here that he started the Dandi March, also known as the Salt March, an act of non-violent resistance and civil disobedience against British rule in India."
8,MAHARASHTRA,Ahmednagar ,"The town Ahmednagar was founded in 1490 by Ahmad Nizam Shah I on the site of a more ancient city, Bhingar. With the breakup of the Bahmani Sultanate, Ahmad established a new sultanate in Ahmednagar, also known as Nizam Shahi dynasty.[9]

It was one of the Deccan sultanates, which lasted until its conquest by Mughal emperor Shah Jahan in 1636. Aurangzeb, the last Mughal emperor, who spent the latter years of his reign, 16811707, in the Deccan, died in Ahmednagar and is buried at Khuldabad, near Aurangabad in 1707, with a small monument marking the site.

In 1759, the Peshwa of the Marathas obtained possession of the place from Nizam of Hyderabad and in 1795 it was ceded by the Peshwa to the Maratha chief Daulat Rao Sindhia. Ahmednagar was besieged by a British force under Richard Wellesley and captured. It was afterward restored to the Marathas, but again came into the possession of the British in 1817, according to the terms of the Treaty of Poona, and was known as Ahmednuggur.Ahmednagar , the largest district in the State. It is home to 19 sugar factories and is also the birthplace of the cooperative movement. Sugar, milk and bank cooperatives flourish here. Exactly 100 years ago, a great visionary was born in deep into the heartland of Maharashtra.8 Majestic Places To Visit In Ahmednagar Shani Shingnapur, Ahmednagar Fort,Cavalry Tank Museum,Salabat Khan Tomb,Avatar Meher Baba SamadhiMeherabad,Kapurwadilake,Harishchandragad Peak,Tomb of Aurangzeb."
9,MIZORAM,Aizawl ,"In 187172, the disorderly conduct of Khalkom, a Mizo chief, compelled the British to establish an outpost that later became the Aizawl village.[4] The post had been established by Suakpuilala, the Chief of Reiek and it was only 14 kilometres from Sairang from where one could travel by flat bottomed boat. In 1890, officer Dally of the Assam Police and his 400 men arrived at Aizawl to support Colonel Skinner's troops during a British military operation against the Mizo tribals.[citation needed] On Dally's recommendation, Aizawl was selected as the site of a fortified post that Colonel Skinner had been ordered to construct. The troops constructed stockades and buildings at the site.[5] In 1892-95 Aizawl became accessible from Silchar by fair weather road under the supervision of Major Loch.[citation needed]

The Indian Air Force carried out air strikes on the town during the March 1966 Mizo National Front uprising, following which the MNF withdrew to Lunglei.[6] Until 1966, Aizawl was a large village but the regrouping of Mizo villages after the uprising made it become a larger town and then a city. Aizawl has become the centre of road network in Mizoram connecting the north and south, east and west. More than 25% of the Mizoram population reside in Aizawl.The city is perched on a ridge around 1132 meters above sea level. It is known for its impeccably clean habitat, scenic natural beauty and tranquility. If you're looking for spending some time in a town that exudes peace and relaxation, this destination is a must-visit."
